,Canonical SMILES,Taste
2020,COc1ccccc1OC(=O)Cc1ccccc1,1
936,OC[C@@H]([C@@H]([C@H]([C@H](CO)O)O)O)O,1
520,OC/C=C(/CCC=C(C)C)\C,1
578,OCC=C(C)C,1
873,COC(=O)[C@H](NC(=O)[C@H](CC(=O)O)N)Cc1ccccc1,1
1959,CCCCOC(=O)C(C)C,1
50,COc1ccc(cc1O)CCc1ccccc1,1
410,CCC(=O)OCC(C(=O)OC)NC(=O)C(CC(=O)O)N,1
528,O=C/C(=C/C(C)C)/c1ccccc1,1
1073,OCc1cnccn1,1
744,CCC(C(=O)O)CC,1
2016,CCCC(=O)OCc1ccccc1,1
2113,CCCCCC(=O)c1ccco1,1
418,CCC(OC(=O)CCNC(=O)C(CC(=O)O)N)CC,1
1988,CCOC(=O)c1ccc(cc1)OC,1
105,COc1ccc(cc1O)C1Cc2cc(O)cc(c2C(=O)C1OC(=O)C)O,1
978,OC[C@H]1OC(O)[C@@H]([C@H]([C@@H]1O)O)O,1
354,CC(Cc1ccc(cc1)F)NC(=O)C(CC(=O)O)N,1
22,OCC1OC(O)C(C(C1O)O)O,1
175,CCOc1ccc(cc1O)C1CC(=O)c2c(O1)cccc2O,1
58,COc1ccc(cc1O)C1Sc2c(S1)cccc2,1
705,CCC(=O)O,1
532,CCCCCCC#CC(=O)OC,1
533,CCCC(=O)OC,1
2056,CCCC(=O)OC(C)C,1
1156,OCCOCCO,1
92,COc1cc2CCC3C(c2cc1O)CCC1(C3CCC1)C,1
214,CSCC1OC(C(C1O)O)(O)CSC,1
1094,O=C(C(=O)O)Cc1ccccc1,1
1,ClCC1OC(C(C1O)O)(CCl)OC1OC(CO)C(C(C1O)O)Cl,1
1138,Cc1ccc2c(c1)ccc(c2)C,1
1077,CC(=O)c1ccc[nH]1,1
1124,CC=CC(=O)OCC(C)C,1
673,CCCCCC(=O)CC,1
679,CC(=CCC/C(=C\1/CCC(=CC1)C)/C)C,1
1103,CC(=O)CCc1ccc(cc1)C,1
1165,CC(=O)C=Cc1ccco1,1
589,C/C=C/c1ccc(c(c1)OC)OC(=O)Cc1ccccc1,1
2047,CC1=CC[C@@H](CC1)C(=C)C,1
446,OC(=O)CC(C(=O)NC(C(=O)OC(C)C)C(C)C)N,1
409,COC(=O)C(NC(=O)C(CC(=O)O)N)COC(=O)C,1
2158,CC(=CCC[C@@]([C@@H]1CCC(=CC1=O)C)(O)C)C,1
752,CC(C(=O)OC(CCc1ccccc1)(C)C)C,1
1065,C=CCOC(=O)CC1CCCCC1,1
430,COC(=O)C(C(O)C)NC(=O)C(CC(=O)O)N,1
1054,CC(=CCC)C=O,1
1188,CC(=O)OCC=Cc1ccccc1,1
270,COc1ccc(cc1O)C1CC(=O)c2c(O1)cc(cc2O)O,1
538,O=Cc1ccc(cc1)O,1
704,CCCC(=O)C(=O)C,1
553,CCCCC/C=C/CC1CCCC1=O,1
517,CCCC(=O)OCCC(CCCC(=C)C)C,1
441,CC(C(=O)OCC)NC(=O)C(CC(=O)O)N,1
656,CCOC(=O)COc1ccc(cc1)C,1
1989,CC1OC(=O)C(=C1C)O,1
594,COC(=O)c1ccccc1NC,1
451,COC(=O)C(C(=O)OC1CC(C)CC(C1)(C)C)NC(=O)C(CC(=O)O)N,1
449,CCC(OC(=O)C(C(=O)OC)NC(=O)C(CC(=O)O)N)CC,1
725,O=COC1CCCCC1,1
541,CCCC(=O)OCCc1ccccc1,1
850,CCNC(=O)c1c(C[N+](=O)[O-])sc(c1C(=O)Nc1ccc(cc1)Cl)c1ccnc(c1)N,1
2111,CC(=O)OCC1CCCO1,1
271,Oc1cc(O)c2c(c1)OC(C(C2=O)OC1OC(C)C(C(C1O)O)O)c1ccc(c(c1)O)O,1
381,NC(C(=O)NCCOC(=O)C1CC1)CC(=O)O,1
1162,CC(=O)OC1CC(CC=C1C)C(=C)C,1
375,COC(=O)C(NC(=O)C(CC(=O)O)N)COC(C)(C)C,1
443,CCCCOC(=O)C(NC(=O)C(CC(=O)O)N)C,1
755,CCOC(=O)/C=C\C,1
431,CCOC(=O)C(C(O)C)NC(=O)C(CC(=O)O)N,1
887,OC[C@H]1O[13C@@H](O)[C@@H]([C@H]([C@@H]1O)O)O,1
617,CCC(=O)/C=C/C1C(=CCCC1(C)C)C,1
521,CCCCCCCC(=O)OCC=C,1
2014,O=CC(=O)C,1
426,CCOC(=O)CC(C(=O)OC)NC(=O)C(CC(=O)O)N,1
611,C=CC(=C)CCC=C(C)C,1
1164,CCC1=C(O)C(=O)C(O1)C,1
2003,C=CCCC(=O)/C=C/C1C(=CCCC1(C)C)C,1
688,CC(=O)/C=C/c1ccccc1,1
933,OCC1O[C@H](O)[C@H]([C@H](C1O)O)O,1
1005,OC[C@H]1O[C@H](O)[C@H]([C@@H]([C@H]1O)O)O,1
440,COC(=O)C(NC(=O)C(CC(=O)O)N)C,1
680,O=COCCC(CCC=C(C)C)C,1
2001,CC(COC(=O)Cc1ccccc1)C,1
2038,CCCCCCCC(=O)OCCC(C)C,1
1174,CCCC(=O)OCC(=C)C,1
1060,N[C@H](C(=O)O)CCCN.Cl,1
415,CC(NC(=O)C(CC(=O)O)N)CC(=O)OC1CCCCC1,1
935,OC[C@@H]1OC(O)[C@H]([C@@H]([C@@H]1O)O)O,1
584,CSCCC(=O)OCC,1
2055,CCCCCCCCOC(=O)CC,1
738,C[C@@H](c1ccccc1)COC(=O)C(C)C,1
718,COC(c1ccccc1)OC,1
1170,O=CC(=Cc1ccccc1)C,1
459,N#Cc1ccc(cc1)/N=C(\NCc1cccc(c1)C)/NCC(=O)O,1
989,OC[C@@H]1O[C@@H](O)[C@H]([C@H]([C@H]1O)O)O,1
709,OC(=O)C1CCCCC1,1
2037,CC(COC(=O)c1ccccc1N)C,1
219,OCC(C(=O)O)N,1
716,CCCC(CCOC(=O)C)SC,1
1191,CCCCCCCCCC(=O)OCC=C,1
