ID,IC50_nM
TEST_000,318.3525503123436
TEST_001,18.52536044219477
TEST_002,20.01339805533247
TEST_003,17.253875767081457
TEST_004,19.620948596526148
TEST_005,18.546700833752983
TEST_006,21.314083688008008
TEST_007,19.935172592467282
TEST_008,31.893625391444747
TEST_009,123.10559109968429
TEST_010,128.58293461627963
TEST_011,19.198840473635897
TEST_012,20.20939597308193
TEST_013,60.80649911794681
TEST_014,22.474153010168084
TEST_015,20.154251172942157
TEST_016,20.052670710484275
TEST_017,46.73583431519675
TEST_018,17.928921539531906
TEST_019,21.413286777768324
TEST_020,18.931607854457354
TEST_021,18.661648283007015
TEST_022,74.7193926880868
TEST_023,17.367341071364304
TEST_024,20.16037523295794
TEST_025,19.794749035896004
TEST_026,14.877044657527867
TEST_027,20.686853765188392
TEST_028,19.619480337093126
TEST_029,21.55116903787667
TEST_030,17.315432086427055
TEST_031,22.83056538530577
TEST_032,20.444821978864923
TEST_033,45.79661020001542
TEST_034,39.208780370520024
TEST_035,19.668632539301154
TEST_036,49.8057135722483
TEST_037,32.21439651880533
TEST_038,19.749980295425587
TEST_039,21.523411608680156
TEST_040,19.333218828999016
TEST_041,20.424171307172656
TEST_042,29.913939509484095
TEST_043,18.931607854457354
TEST_044,22.377762829278236
TEST_045,18.211155386524847
TEST_046,69.21142288337859
TEST_047,92.57160163556168
TEST_048,101.49235580905606
TEST_049,24.250042272613257
TEST_050,81.48293553494773
TEST_051,20.530719365717903
TEST_052,28.32478791156266
TEST_053,19.221325503520678
TEST_054,25.136945295259707
TEST_055,22.94320928238625
TEST_056,87.66979680949177
TEST_057,38.19259492131506
TEST_058,18.318222648274823
TEST_059,20.90178293762359
TEST_060,95.13711993893419
TEST_061,18.30908608649633
TEST_062,22.958622825983518
TEST_063,26.284516945338353
TEST_064,27.819009746962095
TEST_065,21.601471344742233
TEST_066,21.211386019062346
TEST_067,24.918199965453173
TEST_068,21.03314261964999
TEST_069,18.636599256711825
TEST_070,23.512790087261223
TEST_071,193.27593271624735
TEST_072,17.813872243112684
TEST_073,37.20881450262929
TEST_074,27.245043145914405
TEST_075,45.495313986601595
TEST_076,17.26434078232442
TEST_077,18.833238229028673
TEST_078,18.20870947458924
TEST_079,22.465529889946154
TEST_080,20.671246537683203
TEST_081,22.500258103986912
TEST_082,21.68608277420325
TEST_083,18.154808266131855
TEST_084,29.79716871591146
TEST_085,23.16994484644347
TEST_086,20.95680150802539
TEST_087,21.15842485226759
TEST_088,97.9740612916742
TEST_089,21.111382121769104
TEST_090,41.57935784595777
TEST_091,31.650701008416462
TEST_092,18.2859137367989
TEST_093,36.53049487158546
TEST_094,25.569613689083507
TEST_095,111.51358494873182
TEST_096,27.819009746962095
TEST_097,33.80626739266396
TEST_098,96.5087446833407
TEST_099,19.855360551333153
TEST_100,15.569213231881655
TEST_101,23.117690465408543
TEST_102,184.02069503225877
TEST_103,18.060648206942865
TEST_104,29.995653859460127
TEST_105,90.39616370990245
TEST_106,23.31757236949093
TEST_107,45.36803820468751
TEST_108,20.431488145171546
TEST_109,97.79500352206574
TEST_110,18.931607854457354
TEST_111,18.32923943487312
TEST_112,27.910974502344537
