,Canonical SMILES,Taste
169,COc1ccc(cc1O)CC(c1ccccc1)C,0
1898,CN1CCC23C4C1Cc1c3c(OC2C(C=C4)O)c(cc1)OCCN1CCOCC1,0
1397,CS(=O)C,0
1795,CC(c1ccc(cc1)C=NO)C,0
1638,[O-][N+](=O)c1cnc(s1)N,0
2239,CC(=O)OCC1OC(OC(=O)C)C(C(C1OC(=O)C)OC(=O)C)OC(=O)C,0
1805,Oc1ccc(cc1)C1COc2c(C1)ccc(c2)O,0
1627,Oc1cc(O)c2c(c1)oc(cc2=O)c1ccccc1O,0
1590,CCn1cc(C(=O)O)c(=O)c2c1nc(nc2)N1CCNCC1,0
1706,CNC(=S)N,0
37,O=C1OCC23C(C1)OC(C2CC(=O)C1(C3CCC2(C31OC3C(=O)OC2c1cocc1)C)C)(C)C,0
328,O=C1NS(=O)(=O)c2c1ccc(c2)N(=O)=O,0
1697,CC(=CCc1c(O)cc(c2c1OC(CC2=O)c1ccc(cc1)O)O)C,0
1746,OCCN1CCN(CC1)C(=O)Cn1c(=O)sc2c1cc(Cl)cc2.Cl,0
1819,O=C(NC1C(=O)N2C1SCC(=C2C(=O)[O-])CSc1nnc(s1)C)Cn1cnnn1.[Na+],0
1666,CN(C1CCC2(C(=CCC3C2CCC24C3CCC4C(N(C2)C)C)C1)C)C.Br.Br,0
1829,CC1(O)CCC(CC1)C(O)(C)C.O,0
1499,CCC1(CCC(C)C)C(=O)NC(=NC1=O)[O-].[Na+],0
1855,CCCC(C1(CC=C)C(=O)[N-]C(=O)NC1=O)C.[Na+],0
1525,OC(=O)Cc1ccccc1Nc1c(Cl)cccc1Cl,0
1913,Oc1ccc(cc1)c1cc(=O)c2c(o1)cc(cc2O)O,0
2249,OCC1C(C)CC(=CC1C)C,0
1497,Oc1ccc(cc1)c1cc(=O)c2c(o1)cccc2O,0
666,COc1c(N2CCN[C@@H](C2)C)c(F)cc2c1n(cc(c2=O)C(=O)O)C1CC1,0
2242,S(Cc1ccccc1)Cc1ccccc1,0
1532,Oc1cc(O)c2c(c1)[o+]c(c(c2)O)c1ccc(c(c1)O)O,0
1475,Cn1c(=O)n(C)c2c(c1=O)[nH]cn2.[O-]C(=O)C.[Na+],0
1622,COc1cccc(c1)C1(O)CCCCC1CN(C)C.Cl,0
1872,C=CC1CNC(=S)O1,0
1504,CC[C@@H](C(=O)C1=C(O)[C@@]([C@@H](C1=O)CC=C(C)C)(O)C(=O)CC=C(C)C)C,0
1916,CCn1cc(C(=O)O)c(=O)c2c1c(F)c(N1CCNC(C1)C)c(c2)F,0
1803,COc1c(O)cc2c(c1O)c(=O)cc(o2)c1ccc(c(c1)O)O,0
1435,CN(C(CN1c2ccccc2Sc2c1cccc2)C)C,0
2188,CC(Cc1ccccc1)(O)C,0
1366,CCC(C1(CC)C(=O)NC(=NC1=O)[O-])C.[Na+],0
1577,OC1C=CC2C34C1Oc1c4c(CC2N(CC3)C)ccc1O.Cl,0
2192,NCCS(=O)(=O)O,0
53,CCCOc1ccc(cc1N(=O)=O)N(=O)=O,0
657,OC[C@]1(O)OC[C@H]([C@H]([C@@H]1O)O)O,0
1883,[S-][11C]#N.[Na+],0
2232,O=C(c1ccccn1)c1ccccc1,0
937,CC[C@@H]([C@H](C(=O)O)N)C,0
1537,[O-][N+](=O)c1cc([N+](=O)[O-])c(c(c1)[N+](=O)[O-])[O-].[NH4+],0
1509,Nc1ccc(cc1)S(=O)(=O)c1ccc(cc1)N,0
1936,OC1CC2(C)C=CC(=O)C(=C2C2C1C(C)C(=O)O2)C,0
1718,COc1ccc(cc1)c1coc2c(c1=O)ccc(c2)O,0
389,n1ccncc1,0
1707,[O-][N+](=O)c1cccc2c1cccc2,0
